Data,Label
84.92,0
84.74,0
84.57,0
425.5862253842652,1
83.93,0
82.94,0
83.12,0
82.2,0
81.44,0
82.33,0
81.36,0
506.19527056442126,1
82.1,0
82.23,0
81.41,0
81.41,0
481.874982669454,1
82.13,0
82.53,0
82.13,0
82.18,0
481.874982669454,1
349.5089565179949,1
81.95,0
82.1,0
82.53,0
82.23,0
82.96,0
83.32,0
83.83,0
83.83,0
83.68,0
83.37,0
82.69,0
506.19527056442126,1
82.81,0
506.19527056442126,1
82.53,0
82.08,0
82.15,0
481.874982669454,1
82.46,0
82.56,0
82.63,0
481.874982669454,1
82.84,0
82.69,0
82.86,0
83.7,0
83.68,0
84.26,0
84.23,0
481.874982669454,1
84.72,0
85.0,0
84.97,0
84.57,0
84.23,0
84.31,0
83.45,0
83.8,0
83.4,0
83.8,0
83.65,0
84.03,0
84.39,0
481.874982669454,1
83.65,0
83.47,0
83.68,0
83.63,0
83.52,0
84.08,0
84.51,0
84.84,0
85.51,0
86.55,0
85.91,0
85.63,0
84.92,0
84.57,0
84.29,0
84.46,0
506.19527056442126,1
84.13,0
84.44,0
84.21,0
84.49,0
84.01,0
84.51,0
84.44,0
85.05,0
84.87,0
84.51,0
84.59,0
83.68,0
83.29,0
467.4979921078676,1
83.37,0
83.57,0
82.63,0
82.63,0
83.12,0
83.04,0
82.89,0
83.32,0
83.02,0
83.24,0
83.52,0
83.35,0
83.83,0
83.09,0
82.48,0
81.75,0
82.91,0
82.71,0
81.85,0
81.57,0
81.62,0
81.92,0
82.02,0
81.24,0
81.39,0
400.3538026262851,1
81.06,0
481.874982669454,1
82.05,0
81.97,0
425.5862253842652,1
81.77,0
81.34,0
481.874982669454,1
82.35,0
82.02,0
81.9,0
82.51,0
81.82,0
81.41,0
81.39,0
82.08,0
506.19527056442126,1
82.0,0
82.28,0
81.62,0
81.36,0
81.08,0
481.874982669454,1
81.06,0
81.26,0
81.87,0
82.15,0
81.75,0
81.34,0
81.69,0
81.69,0
82.08,0
81.97,0
82.2,0
82.15,0
82.51,0
82.58,0
82.28,0
82.99,0
82.94,0
82.53,0
83.04,0
83.42,0
83.17,0
83.5,0
83.4,0
83.8,0
84.11,0
84.36,0
84.46,0
84.72,0
84.77,0
84.51,0
84.69,0
84.16,0
84.21,0
