Length,Method,Time
8184,MSAD (ID),1.054702133178710
8184,SATzilla (ID),1.0318370761871300
8184,UReg (ID),1.2098788261413600
8184,CFact (ID),1.3596641273498500
8184,ISAC (ID),0.19575196647644000
8184,ARGOSMART (ID),0.8803201179504390
8184,MetaOD (ID),16.75425831794740
8184,MSAD (OOD),1.1544164657592800
8184,SATzilla (OOD),1.1414655685424800
8184,UReg (OOD),1.210845136642460
8184,CFact (OOD),1.2050911426544200
8184,ISAC (OOD),0.2022846355438230
8184,ARGOSMART (OOD),0.7261018810272220
8184,MetaOD (OOD),16.76418344497680
8184,Synthetic,140.9148066444400
8184,CQ,787.2338423461910
8184,UEC,821.7717453842160
8184,MC,787.6632182617190
8184,TSADAMS,1387.1283118248000
8184,OE,786.0833673954010
8184,HITS,786.0933013439180
8184,AutoOD-A,806.3879688262940
8184,AutoOD-C,791.4385529041290
8184,UADB,824.7101269245150
8184,IOE,786.1744597435000
8184,SELECT,829.1158597946170
8184,GB,1.025
8184,MSAD (ID),1.0641711502075200
8184,SATzilla (ID),1.0461142807006800
8184,UReg (ID),1.0586567707061800
8184,CFact (ID),1.1199405975341800
8184,ISAC (ID),1.08714945602417
8184,ARGOSMART (ID),1.277410343170170
8184,MetaOD (ID),17.83013617897030
8184,MSAD (OOD),1.0032556838989300
8184,SATzilla (OOD),1.0061596221923800
8184,UReg (OOD),1.044548828125
8184,CFact (OOD),1.0969134159088100
8184,ISAC (OOD),0.1279671802520750
8184,ARGOSMART (OOD),0.287339033126831
8184,MetaOD (OOD),17.828998922348000
8184,Synthetic,48.66404922294620
8184,CQ,661.653619808197
8184,UEC,711.9105579662320
8184,MC,663.170751613617
8184,TSADAMS,1262.5514335632300
8184,OE,661.6182083301540
8184,HITS,661.6121966056820
8184,AutoOD-A,670.8689026050570
8184,AutoOD-C,665.8562006168370
8184,UADB,696.0146636180880
8184,IOE,661.6940132789610
8184,SELECT,689.8829719238280
8184,GB,0.932
8184,MSAD (ID),1.1042923526763900
8184,SATzilla (ID),1.094483335495000
8184,UReg (ID),1.264273572921750
8184,CFact (ID),1.3256778602600100
8184,ISAC (ID),1.178399522781370
8184,ARGOSMART (ID),1.8083968048095700
8184,MetaOD (ID),16.573439834594700
8184,MSAD (OOD),1.20760719871521
8184,SATzilla (OOD),1.2142161617279100
8184,UReg (OOD),1.2619649658203100
8184,CFact (OOD),1.2658328304290800
8184,ISAC (OOD),1.1643508853912400
8184,ARGOSMART (OOD),0.9583434085845950
8184,MetaOD (OOD),16.571766374588000
8184,Synthetic,49.157515054702800
8184,CQ,663.0747126255040
8184,UEC,699.7560129051210
8184,MC,664.6128038082120
8184,TSADAMS,1264.0350852966300
8184,OE,663.0254839820860
8184,HITS,663.035839454651
8184,AutoOD-A,674.340555803299
8184,AutoOD-C,667.5514511032110
8184,UADB,679.503751651764
8184,IOE,663.1167467994690
8184,SELECT,687.0986513061520
8184,GB,1.101
8184,MSAD (ID),0.9292328319549560
8184,SATzilla (ID),0.9079635105133060
8184,UReg (ID),1.2020897140502900
8184,CFact (ID),1.1451124420166000
8184,ISAC (ID),0.2284852409362790
8184,ARGOSMART (ID),1.3241641483306900
8184,MetaOD (ID),16.827780267715500
8184,MSAD (OOD),1.109715866088870
8184,SATzilla (OOD),1.117791341781620
8184,UReg (OOD),1.1665152778625500
8184,CFact (OOD),1.1552731266021700
8184,ISAC (OOD),0.3830394802093510
8184,ARGOSMART (OOD),0.6515486297607420
8184,MetaOD (OOD),16.819500944137600
8184,Synthetic,46.71483373260500
8184,CQ,662.8213681106570
8184,UEC,699.7191965560910
8184,MC,664.3739933090210
8184,TSADAMS,1262.9799127845800
8184,OE,662.788766269684
8184,HITS,662.7967041778570
8184,AutoOD-A,671.4618133354190
8184,AutoOD-C,667.2893487262730
8184,UADB,679.6100112247470
8184,IOE,662.8795961189270
8184,SELECT,673.6185313510900
8184,GB,0.999
8184,MSAD (ID),1.0437307014465300
8184,SATzilla (ID),1.0283331527710000
8184,UReg (ID),1.0726899871826200
8184,CFact (ID),1.3573826770782500
8184,ISAC (ID),0.1630247249603270
8184,ARGOSMART (ID),42.106603342056300
8184,MetaOD (ID),16.455472188949600
8184,MSAD (OOD),1.024220443725590
8184,SATzilla (OOD),1.0247542629241900
8184,UReg (OOD),1.069346881866460
8184,CFact (OOD),1.0463266143798800
8184,ISAC (OOD),0.1711936607360840
8184,ARGOSMART (OOD),0.561883144378662
8184,MetaOD (OOD),16.46957798576360
8184,Synthetic,47.603911571502700
8184,CQ,705.8561695079800
8184,UEC,714.4619267406460
8184,MC,680.2559854602810
8184,TSADAMS,1279.604453901290
8184,OE,678.7319575576780
8184,HITS,678.6941305427550
8184,AutoOD-A,706.3904565601350
8184,AutoOD-C,682.2714368133550
8184,UADB,695.1805621414190
8184,IOE,678.7750803260800
8184,SELECT,679.8923856048580
8184,GB,0.901
8184,MSAD (ID),0.9138005847930910
8184,SATzilla (ID),0.8996616477966310
8184,UReg (ID),1.1182893981933600
8184,CFact (ID),1.4500307483673100
8184,ISAC (ID),0.1637904529571530
8184,ARGOSMART (ID),1.6838435573577900
8184,MetaOD (ID),14.999234830856300
8184,MSAD (OOD),1.0777041187286400
8184,SATzilla (OOD),1.0759178867340100
8184,UReg (OOD),1.1214207878112800
8184,CFact (OOD),1.248997854232790
8184,ISAC (OOD),0.16541003036499000
8184,ARGOSMART (OOD),0.7350821552276610
8184,MetaOD (OOD),14.997439777374300
8184,Synthetic,50.68593083572390
8184,CQ,653.4920004692080
8184,UEC,702.4325562286380
8184,MC,655.0145357933040
8184,TSADAMS,1254.462216146470
8184,OE,653.4422629680630
8184,HITS,653.4510451164250
8184,AutoOD-A,667.5392318573000
8184,AutoOD-C,657.145427783966
8184,UADB,670.0321353282930
8184,IOE,653.5291660633090
8184,SELECT,656.3658476676940
8184,GB,0.999
20000,MSAD (ID),0.5810881252288820
20000,SATzilla (ID),0.5700564975738530
20000,UReg (ID),54.14208482170110
20000,CFact (ID),0.2066447525024410
20000,ISAC (ID),0.7471287841796870
20000,ARGOSMART (ID),0.9005380268096920
20000,MetaOD (ID),33.96973919677740
20000,MSAD (OOD),3.1646654300689700
20000,SATzilla (OOD),3.155144899368290
20000,UReg (OOD),3.2060539417266800
20000,CFact (OOD),3.1371237926483200
20000,ISAC (OOD),3.259570806503300
20000,ARGOSMART (OOD),54.37378190422060
20000,MetaOD (OOD),33.92773294258120
20000,Synthetic,90.47142051887510
20000,CQ,1525.8216175289200
20000,UEC,1607.051230594640
20000,MC,1458.7733579216
20000,TSADAMS,2108.6785791854900
20000,OE,1454.8085998191800
20000,HITS,1454.7752307548500
20000,AutoOD-A,1696.0395408763900
20000,AutoOD-C,1486.0760575428000
20000,UADB,1478.0815743103000
20000,IOE,1454.9646614685100
20000,SELECT,1503.242506374360
20000,GB,2.993
900000,MSAD (ID),8.33549376487732
900000,SATzilla (ID),7.780033311843870
900000,UReg (ID),1818.2826991710700
900000,CFact (ID),125.72403198814400
900000,ISAC (ID),1849.342047832490
900000,ARGOSMART (ID),11.849024496078500
900000,MetaOD (ID),1675.8172799568200
900000,MSAD (OOD),1819.5270798835800
900000,SATzilla (OOD),1819.319530550000
900000,UReg (OOD),60.312262342453
900000,CFact (OOD),55.702759788513200
900000,ISAC (OOD),1937.5274563465100
900000,ARGOSMART (OOD),1821.1121185455300
900000,MetaOD (OOD),1675.0340110282900
900000,Synthetic,5603.047232351300
900000,CQ,48907.29356879240
900000,UEC,56173.1227399521
900000,MC,49123.08942047690
900000,TSADAMS,49474.39597431760
900000,OE,48853.89712747580
900000,HITS,48853.30671032910
900000,AutoOD-A,48894.20384892470
900000,AutoOD-C,48892.73439940450
900000,UADB,49257.10970100400
900000,IOE,48861.21740302090
900000,SELECT,50191.5627022648
900000,GB,72.647
43066,MSAD (ID),0.2672449798583980
43066,SATzilla (ID),0.395009443283081
43066,UReg (ID),51.301459438324000
43066,CFact (ID),0.3341081027984620
43066,ISAC (ID),0.5983669013977050
43066,ARGOSMART (ID),0.5319689960479740
43066,MetaOD (ID),86.72148711204530
43066,MSAD (OOD),0.3859336261749270
43066,SATzilla (OOD),143.38831005859400
43066,UReg (OOD),10.611713291168200
43066,CFact (OOD),10.41979324913030
43066,ISAC (OOD),12.012415908813500
43066,ARGOSMART (OOD),0.8459923152923580
43066,MetaOD (OOD),0.4709892158508300
43066,Synthetic,190.07276704978900
43066,CQ,3615.537787782670
43066,UEC,3679.3499644737200
43066,MC,3574.5783812885300
43066,TSADAMS,4165.188244092940
43066,OE,3564.6625530529000
43066,HITS,3564.779225091930
43066,AutoOD-A,3661.8067323970800
43066,AutoOD-C,3695.237472515110
43066,UADB,3590.5003070640600
43066,IOE,3565.3400380420700
43066,SELECT,3648.1636893558500
43066,GB,4.257
20000,MSAD (ID),0.5304347038269040
20000,SATzilla (ID),0.5339475631713870
20000,UReg (ID),56.571579034805300
20000,CFact (ID),0.1949927597045900
20000,ISAC (ID),0.422439281463623
20000,ARGOSMART (ID),1.126864528656010
20000,MetaOD (ID),38.13745523071290
20000,MSAD (OOD),0.5507756233215330
20000,SATzilla (OOD),0.47986612319946300
20000,UReg (OOD),3.1468409843444800
20000,CFact (OOD),3.0548567123413100
20000,ISAC (OOD),0.2187098903656010
20000,ARGOSMART (OOD),56.8433325843811
20000,MetaOD (OOD),38.12092519378660
20000,Synthetic,104.36024096870400
20000,CQ,1505.9322316951800
20000,UEC,1657.6383157730100
20000,MC,1509.8738123798400
20000,TSADAMS,2105.8664156818400
20000,OE,1505.8894641380300
20000,HITS,1505.8524239044200
20000,AutoOD-A,1581.1560752372700
20000,AutoOD-C,1528.8272168617300
20000,UADB,1520.6107692699400
20000,IOE,1506.084412096020
20000,SELECT,1523.724136350630
20000,GB,2.907
20000,MSAD (ID),0.32368781089782700
